CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:52:22 07/02/25,84,84,84,84,84,84,,,70,87,50,4466.64,,70,87,47,4466.64,,70,87,42,4466.64,,70,87,54,4466.64,,70,87,46,4466.64,,70,87,46,4466.64,76.0,
16:52:32 07/02/25,83,83,83,83,83,83,,,70,87,26,3668.13,,70,87,15,3668.13,,70,87,13,3668.13,,70,87,27,4641.31,,70,87,17,4641.31,,70,87,15,4641.31,58.8,
16:52:42 07/02/25,83,83,83,83,83,83,,,70,87,19,3633.20,,70,87,14,3633.20,,70,87,7,3633.20,,70,87,22,3633.20,,70,87,5,3633.20,,70,87,9,3633.20,52.9,
16:52:52 07/02/25,79,79,79,79,79,79,,,70,87,21,4591.41,,70,87,16,4591.41,,70,87,10,4591.41,,70,87,22,4591.41,,70,87,11,4591.41,,70,87,14,4616.36,53.0,
16:53:02 07/02/25,74,74,74,74,74,74,,,70,87,17,4641.31,,70,87,9,4641.31,,70,87,6,4641.31,,70,87,18,4641.31,,70,87,8,3713.05,,70,87,7,3713.05,49.5,
16:53:12 07/02/25,72,72,72,72,72,72,,,70,87,14,3668.13,,70,87,9,3668.13,,70,87,4,4641.31,,70,87,17,4641.31,,70,87,7,3713.05,,70,87,8,3713.05,50.1,
16:53:22 07/02/25,72,72,72,72,72,72,,,70,87,16,3668.13,,70,87,7,3668.13,,70,87,4,3668.13,,70,87,18,3668.13,,70,87,6,3668.13,,70,87,7,3668.13,49.4,
16:53:32 07/02/25,74,74,74,74,74,74,,,70,87,20,3668.13,,70,87,11,3668.13,,70,87,12,4641.31,,70,87,21,4641.31,,70,87,15,3713.05,,70,87,11,3713.05,56.4,
16:53:42 07/02/25,74,74,74,74,74,74,,,70,87,11,4616.36,,70,87,7,4616.36,,70,87,2,4616.36,,70,87,18,4616.36,,70,87,7,3693.09,,70,87,7,3693.09,51.6,
16:53:52 07/02/25,74,74,74,74,74,74,,,70,87,16,3668.13,,70,87,10,3668.13,,70,87,6,3668.13,,70,87,15,3668.13,,70,87,5,3668.13,,70,87,6,3668.13,51.5,
