CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,11:14:18 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:25:58 06/28/25,65,65,65,65,65,65,,,58,82,4,4641.29,,58,82,2,4641.29,,58,82,2,3713.03,,58,82,2,3713.03,,58,82,1,3713.03,,58,82,2,3713.03,31.2,
11:26:08 06/28/25,65,65,65,65,65,65,,,58,82,5,4641.29,,58,82,2,4641.29,,58,82,1,4641.29,,58,82,5,4641.29,,58,82,2,3713.03,,58,82,5,3713.03,32.9,
11:26:18 06/28/25,66,66,66,66,66,66,,,58,82,6,3593.25,,58,82,1,3593.25,,58,82,0,3593.25,,58,82,7,3593.25,,58,82,1,3713.03,,58,82,3,3713.03,34.1,
11:26:28 06/28/25,64,64,64,64,64,64,,,58,82,7,3593.25,,58,82,5,3593.25,,58,82,2,3593.25,,58,82,9,3593.25,,58,82,4,3593.25,,58,82,5,3593.25,38.5,
11:26:38 06/28/25,61,61,61,61,61,61,,,58,82,7,3713.03,,58,82,6,3713.03,,58,82,3,3713.03,,58,82,7,3713.03,,58,82,2,3713.03,,58,82,4,3713.03,33.2,
11:26:48 06/28/25,65,65,65,65,65,65,,,58,82,18,3593.25,,58,82,6,3593.25,,58,82,2,3593.25,,58,82,18,3593.25,,58,82,6,3593.25,,58,82,7,3713.03,32.0,
11:26:58 06/28/25,65,65,65,65,65,65,,,58,82,12,3613.22,,58,82,6,3613.22,,58,82,0,3613.22,,58,82,6,3613.22,,58,82,5,3613.22,,58,82,5,3613.22,40.5,
11:27:08 06/28/25,69,69,69,69,69,69,,,58,82,11,3593.25,,58,82,7,3593.25,,58,82,1,3593.25,,58,82,12,3593.25,,58,82,4,3593.25,,58,82,3,3593.25,39.8,
11:27:18 06/28/25,62,62,62,62,62,62,,,58,82,4,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,,58,82,4,3593.25,,58,82,1,3593.25,,58,82,2,3593.25,28.4,
11:27:28 06/28/25,60,60,60,60,60,60,,,58,82,1,4641.29,,58,82,0,4641.29,,58,82,1,4641.29,,58,82,4,4641.29,,58,82,1,3713.03,,58,82,3,3713.03,29.6,
11:27:38 06/28/25,67,67,67,67,67,67,,,58,82,12,4641.29,,58,82,4,4641.29,,58,82,1,3713.03,,58,82,12,3713.03,,58,82,4,3713.03,,58,82,6,3713.03,44.8,
11:27:48 06/28/25,63,63,63,63,63,63,,,58,82,6,3593.25,,58,82,4,3593.25,,58,82,2,3593.25,,58,82,3,3593.25,,58,82,1,3593.25,,58,82,4,3593.25,29.5,
11:27:58 06/28/25,60,60,60,60,60,60,,,58,82,7,4641.29,,58,82,2,4641.29,,58,82,1,3713.03,,58,82,5,3713.03,,58,82,1,3713.03,,58,82,4,3713.03,29.3,
11:28:08 06/28/25,70,70,70,70,70,70,,,58,82,13,4641.29,,58,82,10,4641.29,,58,82,0,3713.03,,58,82,13,3713.03,,58,82,3,3713.03,,58,82,3,3713.03,41.8,
11:28:18 06/28/25,63,63,63,63,63,63,,,58,82,10,4641.29,,58,82,1,4641.29,,58,82,1,3713.03,,58,82,10,3713.03,,58,82,1,3713.03,,58,82,3,3713.03,33.1,
11:28:28 06/28/25,64,64,64,64,64,64,,,58,82,5,3593.25,,58,82,1,3593.25,,58,82,2,3593.25,,58,82,2,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,28.9,
11:28:38 06/28/25,61,61,61,61,61,61,,,58,82,8,3593.25,,58,82,1,3593.25,,58,82,0,3593.25,,58,82,4,3593.25,,58,82,3,3593.25,,58,82,2,3593.25,31.4,
11:28:48 06/28/25,63,63,63,63,63,63,,,58,82,15,3593.25,,58,82,7,3593.25,,58,82,2,3593.25,,58,82,10,3593.25,,58,82,5,3593.25,,58,82,4,3593.25,35.9,
11:28:58 06/28/25,71,71,71,71,71,71,,,58,82,23,3653.14,,58,82,12,3673.10,,58,82,2,3673.10,,58,82,16,3673.10,,58,82,7,3673.10,,58,82,3,3673.10,46.9,
11:29:08 06/28/25,80,80,80,80,80,80,,,58,82,23,4541.47,,58,82,15,4541.47,,58,82,3,3633.18,,58,82,21,4641.29,,58,82,13,3713.03,,58,82,28,3713.03,50.7,
11:29:18 06/28/25,80,80,80,80,80,80,,,58,82,24,4616.33,,58,82,12,4616.33,,58,82,6,3693.07,,58,82,25,3693.07,,58,82,7,3693.07,,58,82,18,3693.07,53.6,
11:29:28 06/28/25,80,80,80,80,80,80,,,58,82,47,4516.52,,58,82,18,4516.52,,58,82,19,4466.61,,58,82,30,4466.61,,58,82,23,4466.61,,58,82,21,4466.61,65.2,
11:29:38 06/28/25,80,80,80,80,80,80,,,58,82,18,3713.03,,58,82,10,3713.03,,58,82,1,3713.03,,58,82,15,3713.03,,58,82,3,3713.03,,58,82,29,3713.03,56.2,
11:29:48 06/28/25,74,74,74,74,74,74,,,58,82,7,3713.03,,58,82,3,3713.03,,58,82,1,3713.03,,58,82,6,3713.03,,58,82,1,3713.03,,58,82,1,3713.03,32.7,
11:29:58 06/28/25,77,77,77,77,77,77,,,58,82,34,4641.29,,58,82,22,4641.29,,58,82,13,3713.03,,58,82,24,3713.03,,58,82,19,3713.03,,58,82,13,3713.03,67.0,
11:30:08 06/28/25,74,74,74,74,74,74,,,58,82,44,4641.29,,58,82,36,4641.29,,58,82,32,3713.03,,58,82,47,3713.03,,58,82,35,3713.03,,58,82,41,3713.03,70.5,
11:30:18 06/28/25,72,72,72,72,72,72,,,58,82,4,3593.25,,58,82,1,3593.25,,58,82,1,3593.25,,58,82,13,4641.29,,58,82,1,3713.03,,58,82,4,3713.03,35.3,
11:30:28 06/28/25,65,65,65,65,65,65,,,58,82,7,4641.29,,58,82,8,4641.29,,58,82,2,4641.29,,58,82,11,4641.29,,58,82,4,3713.03,,58,82,9,3713.03,46.2,
11:30:38 06/28/25,69,69,69,69,69,69,,,58,82,16,3593.25,,58,82,13,3593.25,,58,82,3,3593.25,,58,82,15,3593.25,,58,82,6,3593.25,,58,82,6,3593.25,38.1,
11:30:48 06/28/25,66,66,66,66,66,66,,,58,82,9,3713.03,,58,82,2,3713.03,,58,82,1,3713.03,,58,82,5,3713.03,,58,82,1,3713.03,,58,82,1,3713.03,31.9,
11:30:58 06/28/25,65,65,65,65,65,65,,,58,82,9,3593.25,,58,82,10,3593.25,,58,82,2,3593.25,,58,82,13,3713.03,,58,82,4,3713.03,,58,82,1,3713.03,44.5,
11:31:08 06/28/25,78,78,78,78,78,78,,,58,82,21,4516.52,,58,82,14,4516.52,,58,82,7,4541.47,,58,82,18,4541.47,,58,82,12,3633.18,,58,82,11,3633.18,53.0,
11:31:18 06/28/25,73,73,73,73,73,73,,,58,82,21,3713.03,,58,82,18,3713.03,,58,82,11,3713.03,,58,82,26,3713.03,,58,82,17,3713.03,,58,82,11,3713.03,52.4,
11:31:28 06/28/25,67,67,67,67,67,67,,,58,82,1,4641.29,,58,82,0,4641.29,,58,82,1,3713.03,,58,82,5,3593.25,,58,82,0,3593.25,,58,82,1,3593.25,32.8,
11:31:38 06/28/25,67,67,67,67,67,67,,,58,82,17,3593.25,,58,82,14,3593.25,,58,82,8,3593.25,,58,82,23,3593.25,,58,82,14,3593.25,,58,82,10,3593.25,43.7,
11:31:48 06/28/25,76,76,76,76,76,76,,,58,82,21,3653.14,,58,82,13,3653.14,,58,82,3,3653.14,,58,82,39,3653.14,,58,82,12,3653.14,,58,82,3,3653.14,52.2,
11:31:58 06/28/25,74,74,74,74,74,74,,,58,82,14,4641.29,,58,82,6,4641.29,,58,82,6,3713.03,,58,82,17,3713.03,,58,82,6,3713.03,,58,82,4,3713.03,33.5,
11:32:08 06/28/25,68,68,68,68,68,68,,,58,82,29,4641.29,,58,82,21,4641.29,,58,82,16,4641.29,,58,82,30,4641.29,,58,82,16,3713.03,,58,82,16,3713.03,52.7,
11:32:18 06/28/25,67,67,67,67,67,67,,,58,82,21,3593.25,,58,82,14,3593.25,,58,82,7,3593.25,,58,82,14,3593.25,,58,82,12,3593.25,,58,82,5,3593.25,38.9,
11:32:28 06/28/25,67,67,66,66,66,66,,,58,82,11,3593.25,,58,82,4,3593.25,,58,82,3,3593.25,,58,82,13,3593.25,,58,82,4,3593.25,,58,82,1,3593.25,39.9,
11:32:38 06/28/25,63,63,63,63,63,63,,,58,82,16,4641.29,,58,82,6,4641.29,,58,82,5,4641.29,,58,82,14,4641.29,,58,82,3,3713.03,,58,82,6,3713.03,42.9,
11:32:48 06/28/25,61,61,61,61,61,61,,,58,82,7,3593.25,,58,82,1,3593.25,,58,82,0,3593.25,,58,82,3,3593.25,,58,82,1,3593.25,,58,82,1,3593.25,28.9,
11:32:58 06/28/25,60,60,60,60,60,60,,,58,82,9,4641.29,,58,82,5,4641.29,,58,82,0,4641.29,,58,82,7,4641.29,,58,82,1,3713.03,,58,82,6,3713.03,32.5,
11:33:08 06/28/25,65,65,65,65,65,65,,,58,82,22,3593.25,,58,82,11,3593.25,,58,82,6,3593.25,,58,82,13,3593.25,,58,82,11,3593.25,,58,82,6,3593.25,32.5,
