CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,00:48:52 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
01:01:54 06/28/25,78,78,78,78,78,78,,,57,86,28,4641.21,,57,86,1,4641.21,,57,86,1,3712.97,,57,86,25,3712.97,,57,86,4,3712.97,,57,86,3,3712.97,49.8,
01:02:04 06/28/25,78,78,78,78,78,78,,,57,86,22,3673.04,,57,86,9,3673.04,,57,86,0,3673.04,,57,86,29,3673.04,,57,86,0,3673.04,,57,86,2,3673.04,47.4,
01:02:14 06/28/25,76,76,76,76,76,76,,,57,86,32,4641.21,,57,86,4,4641.21,,57,86,2,3712.97,,57,86,16,3712.97,,57,86,2,3712.97,,57,86,4,3712.97,46.5,
01:02:24 06/28/25,76,76,76,76,76,76,,,57,86,7,4641.21,,57,86,5,4641.21,,57,86,3,4641.21,,57,86,43,4641.21,,57,86,1,3712.97,,57,86,3,3712.97,47.6,
01:02:34 06/28/25,76,76,76,76,76,76,,,57,86,37,4641.21,,57,86,3,4641.21,,57,86,1,3712.97,,57,86,17,3712.97,,57,86,2,3712.97,,57,86,1,3712.97,52.0,
01:02:44 06/28/25,75,75,75,75,75,75,,,57,86,22,3712.97,,57,86,7,3712.97,,57,86,1,3712.97,,57,86,33,3712.97,,57,86,1,3712.97,,57,86,0,3712.97,50.0,
01:02:54 06/28/25,68,68,68,68,68,68,,,57,86,13,4641.21,,57,86,18,4641.21,,57,86,2,3712.97,,57,86,7,3712.97,,57,86,5,3712.97,,57,86,0,3712.97,47.1,
01:03:04 06/28/25,76,76,76,76,76,76,,,57,86,17,4641.21,,57,86,17,4641.21,,57,86,5,4641.21,,57,86,10,4641.21,,57,86,9,3712.97,,57,86,6,3712.97,54.2,
01:03:14 06/28/25,64,64,64,64,64,64,,,57,86,3,3593.19,,57,86,4,3593.19,,57,86,1,3593.19,,57,86,1,3593.19,,57,86,4,3593.19,,57,86,3,3712.97,27.1,
01:03:24 06/28/25,60,60,60,60,60,60,,,57,86,2,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,,57,86,1,3593.19,,57,86,1,3593.19,,57,86,3,3593.19,28.1,
01:03:34 06/28/25,58,58,58,58,58,58,,,57,86,2,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,,57,86,2,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,26.5,
01:03:44 06/28/25,58,58,58,58,58,58,,,57,86,1,4641.21,,57,86,0,4641.21,,57,86,0,3712.97,,57,86,0,3712.97,,57,86,1,3712.97,,57,86,4,3712.97,30.2,
01:03:54 06/28/25,58,58,58,58,58,58,,,57,86,1,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,,57,86,1,3593.19,,57,86,0,3593.19,,57,86,2,3593.19,26.5,
01:04:04 06/28/25,58,58,58,58,58,58,,,57,86,3,3593.19,,57,86,1,3593.19,,57,86,0,3593.19,,57,86,2,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,30.1,
